texte,categorie,label,type_document,anonymized
Police d'assurance habitation n° POL-978570 - Conditions particulières. Assuré : [PERSONNE] (Monastir). Franchise générale de 1 850 TND par sinistre. Document contractuel confidentiel.,Personnelles,C3,Conditions particulières de police,True
"Relevé de facturation du client [PERSONNE], montant total 22 900 TND, à traiter exclusivement par le [SERVICE] comptabilité.",Finance,C3,Facture client,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] R&D à Bizerte, prenant effet le 05/06/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
"Package de rémunération du comité exécutif, [PERSONNE] inclus, montant total 7 800 TND. Diffusion strictement limitée à la direction générale. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Finance,C4,Rémunération dirigeant,True
"Fiche de prélèvement bancaire [ORGANISATION] : [PERSONNE], [IDENTIFIANT] TN598809053325575974887, [IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 90.859.286. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Coordonnées bancaires client,True
"[DONNEES] Projet d'acquisition en cours de négociation avec un groupe international, montant envisagé 7 800 TND. Ce dossier ne doit être consulté que par les membres du comité exécutif jusqu'à son annonce officielle. Toute copie, impression ou diffusion nécessite une validation préalable.",Strategique,C4,Plan de fusion-acquisition,True
"[DONNEES] Synthèse de l'échange hebdomadaire de l'équipe Marketing, destinée uniquement aux membres présents et à leur hiérarchie directe.",RH,C2,Compte-rendu de réunion d'équipe,True
"MODÈLE DE FICHE CLIENT VIERGE - [ORGANISATION] ASSURANCES
Nom de l'assuré : [Insérer Nom]
[IDENTIFIANT] : [__ __ __ __ __ __ __ __]
Téléphone : [Insérer Numéro]
Adresse : [Insérer Ville]
[IDENTIFIANT] : POL-xxxxxx
[IDENTIFIANT] : SIN-xxxxxxx",Publique,C1,Modèle de document vierge,True
Organisation des congés et astreintes du [SERVICE] Sinistres jusqu'au 30/09/2025.,RH,C2,Planning d'équipe,True
"[DONNEES] Découvrez notre engagement en matière de responsabilité sociétale à Ariana, à retrouver sur notre site web ouvert à tous les visiteurs.",Publique,C1,Page site web institutionnel,True
